ID,Contributor,Citation,Glottocode,LanguageVariety,Family,Area,Notes,BibTex
1,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",nort3160,Proto-Nordic,Indoeuropean,Europe,Glottocode for North Germanic,kristoffersen2000
2,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",yabe1254,Yabem,Austronesian,Papunesia,,kingston2011
3,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",khmu1256,Kammu,Austroasiatic,Asia,,kingston2011
4,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",east2563,Phan Rang Cham,Austronesian,Asia,,kingston2011
5,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",viet1252,Vietnamese,Austroasiatic,Asia,,kingston2011
6,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",sind1278,Punjabi,Indoeuropean,Asia,Glottocode for Sindhi-Lahnda ,yip2002
7,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",nucl1310,Burmese,Sino-Tibetan,Asia,,hombert1979
8,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",lahu1253,Lahu,Sino-Tibetan,Asia,,hombert1979
9,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",midd1344,Middle Chinese,Sino-Tibetan,Asia,,hombert1979
10,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",cher1273,Cherokee,Iroquian,North America,,julian2010
11,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",atha1247,Proto-Athabaskan (tonal dialects) group one,Athabaskan-Eyak-Tlingit,North America,,kingston2011
12,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",atha1247,Proto-Athabaskan (tonal dialects) group two,Athabaskan-Eyak-Tlingit,North America,,kingston2011
13,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",nort3160,Central Scandinavian,Indoeuropean,Europe,Glottocode for North Germanic,kingston2011
14,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",cemu1238,Cem,Austronesian,Papunesia,,ebrey1993
15,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",utsa1239,Lhasa Tibetan,Sino-Tibetan,Asia,,"kingston2011, sun2003"
16,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",baim1244,Baima Tibetan,Sino-Tibetan,Asia,,sun2003
17,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",uuuu1243,U,Austroasiatic,Asia,,kingston2011
18,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",lugb1240,Western Lugbara,Central Sudanic - Nilo-Saharan,Africa,,kingston2011
19,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",khal1275,Khaling,Sino-Tibetan,Asia,,jacques2016
20,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",kurt1248,Kurtöp,Sino-Tibetan,Asia,,hyslop2009
21,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",moha1257,Proto-Mohawk-Oneida,Iroquian,North America,,julian2010
22,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",heil1246,Heiltsuk,Wakashan,North America,,howe2005
23,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",iraq1241,Iraqw,Afroasiatic,Africa,,kiessling2000
24,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",podo1243,Podoko,Afroasiatic,Africa,,kiessling2003
25,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",bila1255,Bila,Niger-Congo,Africa,,rasmussen2018
26,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",ndak1241,Bantu D30,Niger-Congo,Africa,Using Ndaka Glottocode; dissertation is on several Bantu D30 varieties,rasmussen2018
27,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",dzon1239,Dzongkha,Sino-Tibetan,Asia,,hyslop2010
