ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
arap1274,Arapaho,North America,43.3879,-108.81,arap1274,arp,algi1248,arap1280,False,language,,,0,0,0,US
atha1247,Athabaskan,,,,atha1247,,atha1245,atha1246,False,family,,,25,44,57,
auks1239,Aukshtaitish,Eurasia,,,auks1239,,indo1319,lith1251,False,dialect,,,0,0,3,
baim1244,Baima,Eurasia,33.1001,103.952,baim1244,bqh,sino1245,east2771,False,language,,,0,0,3,CN
bara1380,Barasana-Eduria,South America,0.02193,-70.808,bara1380,bsn,tuca1253,sout3006,False,language,,,0,0,3,CO
benc1235,Bench,Africa,7.04682,35.7673,benc1235,bcq,gong1255,gong1255,False,language,,,0,0,3,ET
bila1255,Bila,Africa,1.16839,28.7626,bila1255,bip,atla1278,bila1259,False,language,,,0,0,2,CD
boro1277,Boro (Ethiopia),Africa,10.6596,35.345,boro1277,bwo,gong1255,gong1256,False,language,,,0,0,4,ET
brok1248,Brokpake,Eurasia,27.3438,91.9972,brok1248,sgt,sino1245,sout3217,False,language,,,0,0,0,BT IN
bwek1238,Bwe Karen,Eurasia,18.9796,96.9936,bwek1238,bwe,sino1245,geba1236,False,language,,,0,0,0,MM TH
cadd1256,Caddo,North America,33.33,-93.5,cadd1256,cad,cadd1255,cadd1255,False,language,,,0,0,0,US
cant1236,Cantonese,Eurasia,,,cant1236,,sino1245,yueh1236,False,dialect,,,0,0,5,
cemu1238,Cemuhî,Papunesia,-20.8489,165.13,cemu1238,cam,aust1307,cemp1235,False,language,,,0,0,0,NC
cent2346,Central Tibetan,,,,cent2346,,sino1245,late1253,False,family,,,7,16,33,
cher1273,Cherokee,North America,35.4664,-83.163,cher1273,chr,iroq1247,iroq1247,False,language,,,0,0,4,US
chey1247,Cheyenne,North America,45.5321,-106.659,chey1247,chy,algi1248,algo1257,False,language,,,0,0,0,US
coas1300,Coast Tsimshian,North America,,,coas1300,,tsim1258,nucl1649,False,dialect,,,0,0,0,
cube1242,Cubeo,South America,1.32382,-70.1939,cube1242,cub,tuca1253,cube1243,False,language,,,0,0,0,BR CO VE
dani1285,Danish,Eurasia,54.8655,9.36284,dani1285,dan,indo1319,nucl1782,False,language,,,0,0,8,DE DK
dzon1239,Dzongkha,Eurasia,27.410786,89.581604,dzon1239,dzo,sino1245,nucl1307,False,language,,,0,0,3,BT CN IN NP
east2280,Eastern Baltic,,,,east2280,,indo1319,balt1263,False,family,,,0,2,12,
east2563,Eastern Cham,Eurasia,11.2853,108.49,east2563,cjm,aust1307,cham1328,False,language,,,0,0,0,VN
esto1258,Estonian,Eurasia,58.55,25.82,esto1258,ekk,ural1272,cent2329,False,language,,,0,0,6,EE LV RU
extr1245,Extreme Southern New Caledonian,,,,extr1245,,aust1307,sout3313,False,family,,,0,2,6,
geba1237,Geba Karen,Eurasia,19.4991,96.9492,geba1237,kvq,sino1245,geba1236,False,language,,,0,0,0,MM
heil1246,Heiltsuk-Oowekyala,North America,51.7045,-127.221,heil1246,hei,waka1280,kwak1268,False,language,,,0,0,2,CA
hmon1333,Hmong Daw,Eurasia,21.5461,103.164,hmon1333,mww,hmon1336,firs1234,False,language,,,0,0,4,CN LA TH VN
hopi1249,Hopi,North America,35.7653,-110.535,hopi1249,hop,utoa1244,nort2953,False,language,,,0,0,3,US
hupd1244,Hup,South America,0.58622,-69.8359,hupd1244,jup,nada1235,hupy1235,False,language,,,0,0,3,BR CO
huuu1240,Hu,Eurasia,22.0163,100.881,huuu1240,huo,aust1305,sout3232,False,language,,,0,0,0,CN
iraq1241,Iraqw,Africa,-4.19948,35.2939,iraq1241,irk,afro1255,iraq1240,False,language,,,0,0,1,TZ
